address,city,days_open,latitude,name,state,zip,longitude
169 W. Wyoming Ave.,Philadelphia,['Tuesday'],40.022031,Bethel Seventh Day Adventist Worship Center,PA,19140,-75.127681
228 E. Allegheny Ave.,Philadelphia,['Thursday'],39.998076,Bethel Temple Community Church,PA,19134,-75.126322
2016 W. Berks St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.983009,Bethlehem of Deliverance,PA,19121,-75.16795443
501 Yarnall St.,Chester,['Thursday'],39.8382833,Better Living Center,PA,19013,-75.3838552
5437 Wyalusing Ave.,Philadelphia,['Friday'],39.96926667,Better Tomorrow Haddington Townhouse Food Pantry,PA,19131,-75.2287021
6239 N. 6th St.,Philadelphia,['Wednesday'],40.0491824,Bickley New Beginning United Methodist Church,PA,19126,-75.1297304
521 W. Lehigh Ave.,Philadelphia,['Saturday'],39.9925254,Blessed to be a Blessing (True Vine Baptist Church),PA,19133,-75.14111215
1519 S. 52nd St.,Philadelphia,['Wednesday'],39.93916002,Bountiful Blessing,PA,19143,-75.21712269
2717 Kirkbride St.,Philadelphia,['Tuesday'],40.002465,Bridesburg Community Food Pantry,PA,19137,-75.0684717
1722 W. Ontario St.,Philadelphia,['Thursday'],40.00534209,Bridgeway Inc.,PA,19140,-75.15805979
1601 N. 12th St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday']",39.9772408,Bright Hope Community Kitchen,PA,19122,-75.1538855
99 Wood St.,Bristol,"['Tuesday', 'Wednesday', 'Thursday', 'Friday']",40.095676,"Bristol Borough Community Action Group, Inc.",PA,19007,-74.858473
1140 S. 19th St.,Philadelphia,['Thursday'],39.93772266,Bryant Baptist Church,PA,19146,-75.17509083
2227 Bryn Mawr Ave.,Philadelphia,"['Monday', 'Thursday']",39.99119207,Bryn Mawr Avenue Church Of God Food Pantry,PA,19131,-75.226466
2155 Milford Square Pk.,Milford Square,['Tuesday'],40.4370696,Bucks County Housing Group Community Food Pantry at Milford Square,PA,18935,-75.3927926
470 Old Dublin Pk.,Doylestown,"['Sunday', 'Wednesday', 'Thursday']",40.33450679,Bucks County Housing Groups Community Food Pantry at Doylestown,PA,18901,-75.14600173
6037 Elmwood Ave.,Philadelphia,"['Thursday', 'Friday']",39.926343,Burning Bush Ministries,PA,19142,-75.224591
6114 Haverford Ave.,Philadelphia,"['Monday', 'Wednesday']",39.9709767,Calvary Agape Community Outreach Services,PA,19151,-75.2413649
7910 Washington Ln.,Wyncote,['Monday'],40.070238,Calvary Assembly of God,PA,19095,-75.155433
1401 N. 60th St.,Philadelphia,['Thursday'],39.9730508,Calvin Presbyterian Church,PA,19151,-75.2394286
1657 Kinsey St.,Philadelphia,['Wednesday'],40.0132486,Campbell AME Church,PA,19124,-75.0847575
5620 Wyalusing Ave.,Philadelphia,['Tuesday'],39.9685902,Camphor MUM Church/Food Cupboard Committee,PA,19131,-75.232889
304 W. School House Ln.,Philadelphia,"['Tuesday', 'Thursday']",40.0287108,Canaan Family Life Center Food and Clothes Program,PA,19144,-75.1780625
4400 N. Reese St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday']",40.0188324,Casa del Carmen,PA,19140,-75.1350077
2438 Kensington Ave.,Philadelphia,['Open:'],39.9871078,Cast Your Cares Ministry,PA,19125,-75.130833
5818 Germantown Ave.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",40.0365903,Center in the Park,PA,19144,-75.176281
900 W. Airy St.,Norristown,"['Monday', 'Wednesday', 'Thursday']",40.120737,Central Presbyterian Church,PA,19401,-75.355748
4520 Benner Street,Philadelphia,"['Tuesday', 'Thursday']",40.0199517,Centre D'adoration Chretienne,PA,19135,-75.0592082
605 E. Lincoln Highway,Coatesville,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.98488052,Chester County Family Service Center - Coatesville (Catholic Social Services),PA,19320,-75.81276403
125 N. Darlington Street,West Chester,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.96003698,Chester County Family Service Center - West Chester (Catholic Social Services),PA,19380,-75.60811185
105 Prospect Avenue,West Grove,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.82128,Chester County Family Service Center - West Grove (Catholic Social Services),PA,19390,-75.826932
